start,end,duration (mins)
Astor Pl,Canal St,11.481666666666666
Astor Pl,50th St,20.436666666666667
Astor Pl,Bergen St,37.480000000000004
Astor Pl,Pennsylvania Ave,65.02166666666668
Astor Pl,238th St,95.00666666666666
Astor Pl,Cathedral Pkwy (110th St),45.42166666666667
Astor Pl,Kingston - Throop Aves,39.455000000000005
Astor Pl,65th St,52.63333333333333
Astor Pl,36th St,49.80166666666666
Astor Pl,Delancey St - Essex St,9.935
Astor Pl,Van Siclen Ave,62.705000000000005
Astor Pl,Norwood Ave,62.57666666666667
Astor Pl,104th-102nd Sts,71.67166666666667
Astor Pl,DeKalb Ave,38.42166666666667
Astor Pl,Beach 105th St,81.315
Astor Pl,Beach 90th St,85.94833333333332
Astor Pl,Freeman St,71.73
Astor Pl,Intervale Ave,67.17666666666666
Astor Pl,182nd-183rd Sts,78.025
Astor Pl,174th-175th Sts,72.34166666666667
Astor Pl,167th St,66.625
Astor Pl,Mets - Willets Point,73.90166666666667
Astor Pl,Junction Blvd,64.29166666666667
Astor Pl,Flushing - Main St,79.75666666666666
Astor Pl,Buhre Ave,81.10166666666667
Astor Pl,3rd Ave - 138th St,53.12833333333333
Astor Pl,Castle Hill Ave,71.03500000000001
Astor Pl,Brooklyn Bridge - City Hall,13.586666666666668
Astor Pl,Zerega Ave,73.13333333333334
Astor Pl,Grand Central - 42nd St,17.62
Astor Pl,33rd St,39.565000000000005
Astor Pl,96th St,35.751666666666665
Astor Pl,77th St,49.46
Astor Pl,Chauncey St,49.0
Astor Pl,Union St,43.285
Astor Pl,Elmhurst Ave,63.61833333333333
Astor Pl,Ralph Ave,48.019999999999996
Astor Pl,Pelham Pkwy,86.27833333333334
Astor Pl,Gun Hill Rd,94.22166666666666
Astor Pl,Nereid Ave (238 St),106.57833333333333
Astor Pl,Franklin Ave,37.35666666666667
Astor Pl,Simpson St,68.17
Astor Pl,Bronx Park East,79.18166666666666
Astor Pl,Winthrop St,54.47666666666667
Astor Pl,149th St - Grand Concourse,58.251666666666665
Astor Pl,161st St - Yankee Stadium,62.74
Astor Pl,Lexington Ave - 59th St,25.19333333333333
