start,end,duration (mins)
Central Park,Sunset Park (Central),30.699516666666668
Central Park,Prospect Park,29.342699999999997
Central Park,Upper East Side-Lenox Hill-Roosevelt Island,6.235083333333334
Central Park,Gravesend (West),37.33923333333333
Central Park,Chelsea-Hudson Yards,15.810533333333332
Central Park,Fort Wadsworth,34.074933333333334
Central Park,East Elmhurst,27.1136
Central Park,Midtown South-Flatiron-Union Square,13.674800000000001
Central Park,Sunnyside,14.039816666666667
Central Park,Grasmere-Arrochar-South Beach-Dongan Hills,36.44415
Central Park,East Harlem (South),10.215233333333334
Central Park,University Heights (South)-Morris Heights,22.39575
Central Park,Midtown-Times Square,10.216566666666667
Central Park,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,23.48033333333333
Central Park,West New Brighton-Silver Lake-Grymes Hill,41.29041666666667
Central Park,Upper East Side-Yorkville,8.867383333333333
Central Park,Cypress Hills,41.9274
Central Park,New Springville-Willowbrook-Bulls Head-Travis,47.94965
Central Park,Astoria (Central),18.42053333333333
Central Park,Bedford Park,30.624533333333332
Central Park,North Corona,28.102016666666668
Central Park,Sunset Park (East)-Borough Park (West),31.886366666666667
Central Park,Astoria (North)-Ditmars-Steinway,22.28765
Central Park,Coney Island-Sea Gate,42.28205
Central Park,Bushwick (East),31.210216666666668
Central Park,Arden Heights-Rossville,49.012550000000005
Central Park,Annadale-Huguenot-Prince's Bay-Woodrow,49.04755
Central Park,Sunset Park (West),28.3215
Central Park,East Midtown-Turtle Bay,7.781366666666667
Central Park,Washington Heights (North),18.220433333333336
Central Park,Laurelton,50.04488333333334
Central Park,Ozone Park,41.344116666666665
Central Park,Mariner's Harbor-Arlington-Graniteville,44.97063333333333
Central Park,Kensington,29.609816666666667
Central Park,Murray Hill-Kips Bay,13.005716666666666
Central Park,Windsor Terrace-South Slope,29.195
Central Park,Bedford-Stuyvesant (East),29.173466666666666
Central Park,Westerleigh-Castleton Corners,43.783483333333336
Central Park,Rosebank-Shore Acres-Park Hill,34.7026
Central Park,Jackson Heights,25.774216666666668
Central Park,Chinatown-Two Bridges,18.57595
Central Park,Upper West Side (Central),8.8935
Central Park,Queens Village,47.163916666666665
Central Park,Downtown Brooklyn-DUMBO-Boerum Hill,23.452949999999998
Central Park,Hell's Kitchen,9.863883333333332
Central Park,Oakwood-Richmondtown,47.13851666666667
Central Park,Oakland Gardens-Hollis Hills,40.43493333333333
Central Park,Park Slope,30.753049999999998
Central Park,Upper East Side-Carnegie Hill,1.95535
Central Park,Borough Park,32.614716666666666
Central Park,Tompkinsville-Stapleton-Clifton-Fox Hills,39.62929999999999
Central Park,Astoria (East)-Woodside (North),19.39295
Central Park,Upper West Side-Lincoln Square,6.085233333333333
