start,end,distance (km)
Astoria (Central),47th-50th Sts - Rockefeller Ctr,7.9753
Astoria (East)-Woodside (North),3rd Ave - 138th St,7.9579
Astoria (North)-Ditmars-Steinway,125th St,7.8971
Bath Beach,4th Av - 9th St,7.9996
Bay Ridge,Parkside Ave,7.8645
Bedford Park,Cypress Ave,7.910100000000001
Bedford-Stuyvesant (East),Whitehall St,7.958399999999999
Bedford-Stuyvesant (West),Canal St - Holland Tunnel,7.9981
Belmont,Buhre Ave,7.8776
Bensonhurst,Church Ave,7.7347
Borough Park,Bedford - Nostrand Aves,7.9336
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Beach 60th St,7.4227
Brighton Beach,Ft Hamilton Pkwy,7.9695
Brooklyn Heights,Beverly Rd,7.8859
Brownsville,Nevins St,7.7877
Bushwick (East),Forest Hills - 71st Av,7.9754
Bushwick (West),25th St,7.948600000000001
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Central Ave,7.9994
Central Park,65th St,7.9357
Chelsea-Hudson Yards,Court Sq - 23rd St,6.8965
Chinatown-Two Bridges,Smith - 9th Sts,7.9364
College Point,Junction Blvd,7.4781
Coney Island-Sea Gate,Ocean Pkwy,3.2596999999999996
Corona,Crescent St,7.9784
Cypress Hills,President St,7.997
Downtown Brooklyn-DUMBO-Boerum Hill,Ditmas Ave,7.921399999999999
East Elmhurst,21st St,7.8152
East Flatbush-Erasmus,Halsey St,7.9835
East Harlem (South),170th St,7.9996
East Midtown-Turtle Bay,Bowling Green,7.918100000000001
East New York (North),Lafayette Ave,7.9198
East New York-New Lots,Myrtle Ave,7.8899
East Williamsburg,47th-50th Sts - Rockefeller Ctr,7.9866
Elmhurst,Grant Ave,7.9539
Far Rockaway-Bayswater,Rockaway Park - Beach 116 St,7.4421
Flatbush,Flushing Ave,7.9918
Forest Hills,Wilson Ave,7.8807
Gravesend (South),Brooklyn College - Flatbush Ave,7.7207
Gravesend (West),25th St,7.83
Greenpoint,Ralph Ave,7.9118
Hell's Kitchen,40th St,7.7441
Hollis,121st St,7.3315
Howard Beach-Lindenwood,Halsey St,7.961399999999999
Inwood,138th St - Grand Concourse,7.8653
Jackson Heights,75th Ave,7.979100000000001
Jamaica,88th St,7.9956
Kensington,Clark St,7.9075
Kingsbridge Heights-Van Cortlandt Village,Elder Ave,7.9953
Kingsbridge-Marble Hill,163rd St - Amsterdam Av,7.659800000000001
Laurelton,Ozone Park - Lefferts Blvd,7.817699999999999
Long Island City-Hunters Point,Kingston - Throop Aves,7.964300000000001
Lower East Side,Grand Army Plaza,7.7307
Mapleton-Midwood (West),Canarsie - Rockaway Pkwy,7.5818
Midtown South-Flatiron-Union Square,110th St,7.9241
Midtown-Times Square,Montrose Ave,7.6944
Midwood,Atlantic Av - Barclay's Center,7.8533
Mount Eden-Claremont (West),219th St,7.6757
Mount Hope,Nereid Ave (238 St),8.0
Murray Hill-Kips Bay,Morgan Ave,7.7161
North Corona,Hunters Point Ave,7.954
Norwood,Middletown Rd,7.8628
Oakland Gardens-Hollis Hills,Parsons Blvd,7.6661
Ocean Hill,15th St - Prospect Park,7.8872
Old Astoria-Hallets Point,149th St - Grand Concourse,7.862
Ozone Park,67th Ave,7.9404
Park Slope,Bay Pky,7.9852
Prospect Heights,Grand St,7.9355
Prospect Park,Chauncey St,7.9301
Queens Village,Jamaica - Van Wyck,7.6756
Queensbridge-Ravenswood-Dutch Kills,E 143rd St - St Mary's St,7.9479
Richmond Hill,Sutter Ave,7.7881
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Beverly Rd,7.8653
South Ozone Park,Middle Village - Metropolitan Ave,7.6082
Springfield Gardens (North)-Rochdale Village,111th St,7.5878
Springfield Gardens (South)-Brookville,Aqueduct - North Conduit Av,7.3596
St. Albans,Ozone Park - Lefferts Blvd,7.9395
Stuyvesant Town-Peter Cooper Village,York St,7.8467
Sunnyside,Mets - Willets Point,7.8744
Sunset Park (Central),Hoyt St,7.787
Sunset Park (East)-Borough Park (West),Neck Rd,7.8843
Sunset Park (West),Ave U,7.8784
Tremont,110th St,7.9938
University Heights (North)-Fordham,Wakefield - 241st St,7.992100000000001
University Heights (South)-Morris Heights,Cathedral Pkwy (110th St),7.5824
Upper East Side-Carnegie Hill,65th St,7.9253
Upper East Side-Lenox Hill-Roosevelt Island,Brooklyn Bridge - City Hall,7.9647
Upper East Side-Yorkville,W 4th St - Washington Sq (Upper),7.8723
Upper West Side (Central),175th St,7.9338
Upper West Side-Lincoln Square,138th St - Grand Concourse,7.9785
Upper West Side-Manhattan Valley,190th St,7.9692
Wakefield-Woodlawn,St Lawrence Ave,7.9579
Washington Heights (North),Bronx Park East,7.7959
Washington Heights (South),103rd St,7.814100000000001
West Farms,Harlem - 148 St,7.786
West Village,Long Island City - Court Sq,7.875100000000001
Windsor Terrace-South Slope,Bedford Ave,7.7394
Woodhaven,Jamaica - 179th St,7.972899999999999
Woodside,5th Ave - 53rd St,7.9502
