NTAName,Latitude,Longitude
Central Park,40.769033,-73.969649
Sunset Park (Central),40.640578,-74.018124
Prospect Park,40.672222,-73.969008
Upper East Side-Lenox Hill-Roosevelt Island,40.768033,-73.952959
Gravesend (West),40.597458,-73.985513
Chelsea-Hudson Yards,40.743645,-74.007041
Fort Wadsworth,40.599129,-74.062971
East Elmhurst,40.762859,-73.873427
Midtown South-Flatiron-Union Square,40.74551,-73.984493
Sunnyside,40.744165,-73.925245
Grasmere-Arrochar-South Beach-Dongan Hills,40.598498,-74.08127
East Harlem (South),40.785357,-73.949465
University Heights (South)-Morris Heights,40.853857,-73.907519
Midtown-Times Square,40.766592,-73.982719
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,40.669918,-73.989286
West New Brighton-Silver Lake-Grymes Hill,40.628858,-74.116321
Upper East Side-Yorkville,40.780478,-73.952701
Grasmere-Arrochar-South Beach-Dongan Hills,40.595557,-74.086167
Cypress Hills,40.680846,-73.891895
West New Brighton-Silver Lake-Grymes Hill,40.641784,-74.1155
New Springville-Willowbrook-Bulls Head-Travis,40.586159,-74.162561
Astoria (Central),40.764346,-73.930229
Bedford Park,40.87347,-73.889546
North Corona,40.749564,-73.869573
Sunset Park (East)-Borough Park (West),40.647018,-73.996987
Astoria (North)-Ditmars-Steinway,40.77305,-73.906163
Coney Island-Sea Gate,40.581609,-73.967352
Bushwick (East),40.70005,-73.911769
Arden Heights-Rossville,40.551878,-74.211891
Annadale-Huguenot-Prince's Bay-Woodrow,40.54144,-74.210081
Sunset Park (Central),40.644183,-74.011174
Sunset Park (West),40.643233,-74.012374
East Midtown-Turtle Bay,40.761984,-73.967743
Washington Heights (North),40.856963,-73.932382
Laurelton,40.667131,-73.757121
Ozone Park,40.67075,-73.842631
Mariner's Harbor-Arlington-Graniteville,40.636777,-74.157557
Astoria (Central),40.770085,-73.918304
West New Brighton-Silver Lake-Grymes Hill,40.634635,-74.086666
Kensington,40.642696,-73.979883
West New Brighton-Silver Lake-Grymes Hill,40.616611,-74.102996
Murray Hill-Kips Bay,40.751085,-73.974122
Windsor Terrace-South Slope,40.659626,-73.977217
Arden Heights-Rossville,40.557499,-74.207278
Bedford-Stuyvesant (East),40.67919,-73.928636
Westerleigh-Castleton Corners,40.61585,-74.104658
Rosebank-Shore Acres-Park Hill,40.612359,-74.085058
Jackson Heights,40.758825,-73.890835
Chinatown-Two Bridges,40.712931,-73.98744
Chinatown-Two Bridges,40.713374,-73.998679
Upper West Side (Central),40.788066,-73.976942
Queens Village,40.713163,-73.735765
Upper East Side-Lenox Hill-Roosevelt Island,40.76583,-73.961084
Annadale-Huguenot-Prince's Bay-Woodrow,40.53752,-74.217724
West New Brighton-Silver Lake-Grymes Hill,40.633778,-74.085986
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,40.677757,-74.012326
Downtown Brooklyn-DUMBO-Boerum Hill,40.69256,-73.989131
Upper East Side-Yorkville,40.784948,-73.948998
University Heights (South)-Morris Heights,40.854707,-73.911236
Chelsea-Hudson Yards,40.749222,-74.002905
Hell's Kitchen,40.764502,-73.991704
