Location,total people
"40.506882,-74.232979",185.0
"40.508942,-74.246948",184.0
"40.510155,-74.248062",1.0
"40.523865,-74.186226",1.0
"40.526684,-74.178276",13.0
"40.526787,-74.178284",1.0
"40.526802,-74.178207",4.0
"40.526962,-74.19133",3.0
"40.526997,-74.191162",1.0
"40.527,-74.191353",44.0
"40.527172,-74.191589",9.0
"40.52803,-74.216454",4.0
"40.530102,-74.226295",389.0
"40.53389,-74.153862",131.0
"40.534569,-74.154335",71.0
"40.542709,-74.208282",4.0
"40.543461,-74.197227",172.0
"40.548874,-74.220856",38.0
"40.553871,-74.117172",125.0
"40.556648,-74.17585",53.0
"40.56023,-74.170952",89.0
"40.560669,-74.171165",35.0
"40.56076,-74.171089",566.0
"40.560837,-74.17112",748.0
"40.561035,-74.1707",49.0
"40.564049,-74.110535",143.0
"40.565525,-74.112297",99.0
"40.567913,-74.126419",3.0
"40.5681,-74.11544",6.0
"40.568783,-74.106544",5.0
"40.568813,-74.106514",5.0
"40.569096,-74.106895",3.0
"40.571415,-74.144165",4.0
"40.57378,-74.00251",306.0
"40.574875,-74.165466",22.0
"40.575645,-74.167152",310.0
"40.576653,-73.965446",13.0
"40.576992,-73.981415",91.0
"40.577038,-73.981438",257.0
"40.577042,-74.100761",5.0
"40.57708,-73.981293",305.0
"40.577091,-73.981636",135.0
"40.577305,-74.100975",5.0
"40.57814,-73.939796",280.0
"40.578247,-73.939743",295.0
"40.578251,-73.939743",10.0
"40.578308,-73.991997",1.0
"40.581245,-74.111992",98.0
"40.583126,-73.95459",2.0
"40.583221,-74.161949",320.0
"40.583359,-73.986267",107.0
"40.583691,-74.161263",3.0
"40.583721,-74.161423",66.0
"40.584026,-73.938438",40.0
"40.584949,-74.166916",3.0
"40.585033,-73.931328",335.0
"40.586441,-73.931587",143.0
"40.586575,-74.199394",129.0
"40.586792,-74.199142",137.0
"40.586937,-74.086418",123.0
"40.587101,-73.918503",73.0
"40.590076,-74.066795",7.0
"40.593021,-73.99218",200.0
"40.59351,-73.993996",863.0
"40.593864,-73.940666",88.0
"40.594242,-73.940582",73.0
